"tanggal","provinsi","kelompok_umur","jumlah"
"2021-03-28","PAPUA BARAT","x31_45",2743
"2021-03-28","PAPUA BARAT","x46_59",1303
"2021-03-28","PAPUA BARAT","x60_up",520
"2021-03-28","PAPUA BARAT","tidak_diketahui",40
"2021-03-28","MALUKU","x0_5",89
"2021-03-28","MALUKU","x6_18",584
"2021-03-28","MALUKU","x19_30",2048
"2021-03-28","MALUKU","x31_45",2589
"2021-03-28","MALUKU","x46_59",1394
"2021-03-28","MALUKU","x60_up",430
"2021-03-28","MALUKU","tidak_diketahui",206
"2021-03-28","JAMBI","x0_5",180
"2021-03-28","JAMBI","x6_18",806
"2021-03-28","JAMBI","x19_30",1609
"2021-03-28","JAMBI","x31_45",1754
"2021-03-28","JAMBI","x46_59",1242
"2021-03-28","JAMBI","x60_up",480
"2021-03-28","JAMBI","tidak_diketahui",61
"2021-03-28","KALIMANTAN BARAT","x0_5",135
"2021-03-28","KALIMANTAN BARAT","x6_18",561
"2021-03-28","KALIMANTAN BARAT","x19_30",1483
"2021-03-28","KALIMANTAN BARAT","x31_45",1663
"2021-03-28","KALIMANTAN BARAT","x46_59",1310
"2021-03-28","KALIMANTAN BARAT","x60_up",576
"2021-03-28","KALIMANTAN BARAT","tidak_diketahui",81
"2021-03-28","BENGKULU","x0_5",117
"2021-03-28","BENGKULU","x6_18",497
"2021-03-28","BENGKULU","x19_30",1258
"2021-03-28","BENGKULU","x31_45",1722
"2021-03-28","BENGKULU","x46_59",1153
"2021-03-28","BENGKULU","x60_up",594
"2021-03-28","BENGKULU","tidak_diketahui",23
"2021-03-28","SULAWESI BARAT","x0_5",90
"2021-03-28","SULAWESI BARAT","x6_18",802
"2021-03-28","SULAWESI BARAT","x19_30",1526
"2021-03-28","SULAWESI BARAT","x31_45",1747
"2021-03-28","SULAWESI BARAT","x46_59",788
"2021-03-28","SULAWESI BARAT","x60_up",393
"2021-03-28","SULAWESI BARAT","tidak_diketahui",17
"2021-03-28","GORONTALO","x0_5",84
"2021-03-28","GORONTALO","x6_18",251
"2021-03-28","GORONTALO","x19_30",1649
"2021-03-28","GORONTALO","x31_45",1765
"2021-03-28","GORONTALO","x46_59",974
"2021-03-28","GORONTALO","x60_up",352
"2021-03-28","GORONTALO","tidak_diketahui",44
"2021-03-28","MALUKU UTARA","x0_5",71
"2021-03-28","MALUKU UTARA","x6_18",241
"2021-03-28","MALUKU UTARA","x19_30",1264
"2021-03-28","MALUKU UTARA","x31_45",1481
"2021-03-28","MALUKU UTARA","x46_59",722
"2021-03-28","MALUKU UTARA","x60_up",269
"2021-03-28","MALUKU UTARA","tidak_diketahui",256
